Table 1
Identical Matches,Dictionary Word,Linear A word,Frequency,Percentage(%)
wd,"['-', '-', '-', '-', ['wad'], '-', ['wad']]","['-', '-', '-', '-', ['WADI', 'WIDU'], '-', ['WD']]","[['-'], ['-'], ['-'], ['-'], [1, 1], ['-'], [2]]","[[['-'], ['-'], ['-'], ['-'], [25.0, 25.0], ['-'], [50.0]]]"
w,"['-', '-', '-', '-', ['wu'], '-', ['ow', 'wa']]","['-', '-', '-', '-', ['WA'], '-', ['W']]","[['-'], ['-'], ['-'], ['-'], [2], ['-'], [2]]","[[['-'], ['-'], ['-'], ['-'], [50.0], ['-'], [50.0]]]"
yn,"['-', '-', '-', '-', ['yoini'], '-', '-']","['-', '-', '-', '-', ['YANA'], '-', '-']","[['-'], ['-'], ['-'], ['-'], [1], ['-'], ['-']]","[[['-'], ['-'], ['-'], ['-'], [100.0], ['-'], ['-']]]"
dmn,"['-', '-', '-', '-', '-', ['adamana'], ['deman']]","['-', '-', '-', '-', '-', ['DAMINU'], ['DMN']]","[['-'], ['-'], ['-'], ['-'], ['-'], [1], [1]]","[[['-'], ['-'], ['-'], ['-'], ['-'], [50.0], [50.0]]]"
j,"['-', '-', '-', '-', '-', ['aj'], '-']","['-', '-', '-', '-', '-', [']JA', 'JA['], '-']","[['-'], ['-'], ['-'], ['-'], ['-'], [2, 2], ['-']]","[[['-'], ['-'], ['-'], ['-'], ['-'], [50.0, 50.0], ['-']]]"
mt,"['-', '-', '-', '-', '-', ['ameti'], ['mat', 'meti', 'mit', 'mut']]","['-', '-', '-', '-', '-', ['MITU'], ['MT']]","[['-'], ['-'], ['-'], ['-'], ['-'], [2], [2]]","[[['-'], ['-'], ['-'], ['-'], ['-'], [50.0], [50.0]]]"
ndr,"['-', '-', '-', '-', '-', ['andrea'], '-']","['-', '-', '-', '-', '-', ['NADARE', 'NUDIRA'], '-']","[['-'], ['-'], ['-'], ['-'], ['-'], [1, 1], ['-']]","[[['-'], ['-'], ['-'], ['-'], ['-'], [50.0, 50.0], ['-']]]"
smt,"['-', '-', '-', '-', '-', ['asmuti'], '-']","['-', '-', '-', '-', '-', ['SIMITA', 'SAMATI'], '-']","[['-'], ['-'], ['-'], ['-'], ['-'], [1, 1], ['-']]","[[['-'], ['-'], ['-'], ['-'], ['-'], [50.0, 50.0], ['-']]]"
dd,"['-', '-', '-', '-', '-', ['dada'], ['dad', 'daud', 'did', 'dud']]","['-', '-', '-', '-', '-', ['DIDI'], ['DD']]","[['-'], ['-'], ['-'], ['-'], ['-'], [1], [1]]","[[['-'], ['-'], ['-'], ['-'], ['-'], [50.0], [50.0]]]"
dj,"['-', '-', '-', '-', '-', ['deaj'], '-']","['-', '-', '-', '-', '-', ['DUJA'], '-']","[['-'], ['-'], ['-'], ['-'], ['-'], [1], ['-']]","[[['-'], ['-'], ['-'], ['-'], ['-'], [100.0], ['-']]]"
drn,"['-', '-', '-', '-', '-', ['derna'], '-']","['-', '-', '-', '-', '-', ['DARINA'], '-']","[['-'], ['-'], ['-'], ['-'], ['-'], [1], ['-']]","[[['-'], ['-'], ['-'], ['-'], ['-'], [100.0], ['-']]]"
drd,"['-', '-', '-', '-', '-', ['dord'], '-']","['-', '-', '-', '-', '-', ['DARIDA'], '-']","[['-'], ['-'], ['-'], ['-'], ['-'], [3], ['-']]","[[['-'], ['-'], ['-'], ['-'], ['-'], [100.0], ['-']]]"
drt,"['-', '-', '-', '-', '-', ['drete'], '-']","['-', '-', '-', '-', '-', ['DURITE'], '-']","[['-'], ['-'], ['-'], ['-'], ['-'], [1], ['-']]","[[['-'], ['-'], ['-'], ['-'], ['-'], [100.0], ['-']]]"
dnr,"['-', '-', '-', '-', '-', ['dunare'], '-']","['-', '-', '-', '-', '-', ['DINARO'], '-']","[['-'], ['-'], ['-'], ['-'], ['-'], [1], ['-']]","[[['-'], ['-'], ['-'], ['-'], ['-'], [100.0], ['-']]]"
st,"['-', '-', '-', '-', '-', ['este'], ['sat', 'satu', 'sit', 'sut']]","['-', '-', '-', '-', '-', ['SITU6'], ['ST']]","[['-'], ['-'], ['-'], ['-'], ['-'], [1], [1]]","[[['-'], ['-'], ['-'], ['-'], ['-'], [50.0], [50.0]]]"
jj,"['-', '-', '-', '-', '-', ['jijia'], '-']","['-', '-', '-', '-', '-', ['JAJA['], '-']","[['-'], ['-'], ['-'], ['-'], ['-'], [2], ['-']]","[[['-'], ['-'], ['-'], ['-'], ['-'], [100.0], ['-']]]"
jn,"['-', '-', '-', '-', '-', ['joiana'], '-']","['-', '-', '-', '-', '-', ['JANA'], '-']","[['-'], ['-'], ['-'], ['-'], ['-'], [1], ['-']]","[[['-'], ['-'], ['-'], ['-'], ['-'], [100.0], ['-']]]"
mnt,"['-', '-', '-', '-', '-', ['manta'], '-']","['-', '-', '-', '-', '-', ['MINUTE'], '-']","[['-'], ['-'], ['-'], ['-'], ['-'], [4], ['-']]","[[['-'], ['-'], ['-'], ['-'], ['-'], [100.0], ['-']]]"
mtrt,"['-', '-', '-', '-', '-', ['matreata'], '-']","['-', '-', '-', '-', '-', ['MATARITA['], '-']","[['-'], ['-'], ['-'], ['-'], ['-'], [1], ['-']]","[[['-'], ['-'], ['-'], ['-'], ['-'], [100.0], ['-']]]"
mtr,"['-', '-', '-', '-', '-', ['motru'], ['matar', 'mVtur']]","['-', '-', '-', '-', '-', ['MATERE'], ['MTR']]","[['-'], ['-'], ['-'], ['-'], ['-'], [1], [1]]","[[['-'], ['-'], ['-'], ['-'], ['-'], [50.0], [50.0]]]"
mtt,"['-', '-', '-', '-', '-', ['omatuta'], '-']","['-', '-', '-', '-', '-', ['MATETI'], '-']","[['-'], ['-'], ['-'], ['-'], ['-'], [1], ['-']]","[[['-'], ['-'], ['-'], ['-'], ['-'], [100.0], ['-']]]"
prs,"['-', '-', '-', '-', '-', ['pres'], '-']","['-', '-', '-', '-', '-', ['PAROSU'], '-']","[['-'], ['-'], ['-'], ['-'], ['-'], [1], ['-']]","[[['-'], ['-'], ['-'], ['-'], ['-'], [100.0], ['-']]]"
ptn,"['-', '-', '-', '-', '-', ['putna'], '-']","['-', '-', '-', '-', '-', ['PATANE'], '-']","[['-'], ['-'], ['-'], ['-'], ['-'], [2], ['-']]","[[['-'], ['-'], ['-'], ['-'], ['-'], [100.0], ['-']]]"
smr,"['-', '-', '-', '-', '-', ['simeria'], '-']","['-', '-', '-', '-', '-', ['SAMARO'], '-']","[['-'], ['-'], ['-'], ['-'], ['-'], [1], ['-']]","[[['-'], ['-'], ['-'], ['-'], ['-'], [100.0], ['-']]]"
srt,"['-', '-', '-', '-', '-', ['siret'], '-']","['-', '-', '-', '-', '-', ['SIRUTE'], '-']","[['-'], ['-'], ['-'], ['-'], ['-'], [2], ['-']]","[[['-'], ['-'], ['-'], ['-'], ['-'], [100.0], ['-']]]"
srd,"['-', '-', '-', '-', '-', ['siroada'], '-']","['-', '-', '-', '-', '-', ['SARYADU', 'SIRUDU', 'SARADI'], '-']","[['-'], ['-'], ['-'], ['-'], ['-'], [1, 1, 1], ['-']]","[[['-'], ['-'], ['-'], ['-'], ['-'], [33.3, 33.3, 33.3], ['-']]]"
sm,"['-', '-', '-', '-', '-', ['soim'], ['sam', 'sama', 'sim', 'sima', 'simar', 'sum']]","['-', '-', '-', '-', '-', ['SAMA'], ['SM']]","[['-'], ['-'], ['-'], ['-'], ['-'], [3], [5]]","[[['-'], ['-'], ['-'], ['-'], ['-'], [37.5], [62.5]]]"
spm,"['-', '-', '-', '-', '-', ['spaima'], '-']","['-', '-', '-', '-', '-', ['SAPIMI'], '-']","[['-'], ['-'], ['-'], ['-'], ['-'], [1], ['-']]","[[['-'], ['-'], ['-'], ['-'], ['-'], [100.0], ['-']]]"
tp,"['-', '-', '-', '-', '-', ['tapia'], ['tup']]","['-', '-', '-', '-', '-', ['TAPA', 'TUPA'], ['TP']]","[['-'], ['-'], ['-'], ['-'], ['-'], [1, 1], [2]]","[[['-'], ['-'], ['-'], ['-'], ['-'], [25.0, 25.0], [50.0]]]"
trn,"['-', '-', '-', '-', '-', ['tarina'], '-']","['-', '-', '-', '-', '-', ['TARINA'], '-']","[['-'], ['-'], ['-'], ['-'], ['-'], [1], ['-']]","[[['-'], ['-'], ['-'], ['-'], ['-'], [100.0], ['-']]]"
tmp,"['-', '-', '-', '-', '-', ['timpa'], '-']","['-', '-', '-', '-', '-', ['TAMAPI'], '-']","[['-'], ['-'], ['-'], ['-'], ['-'], [1], ['-']]","[[['-'], ['-'], ['-'], ['-'], ['-'], [100.0], ['-']]]"
ttr,"['-', '-', '-', '-', '-', ['titiri'], '-']","['-', '-', '-', '-', '-', ['TATARE'], '-']","[['-'], ['-'], ['-'], ['-'], ['-'], [1], ['-']]","[[['-'], ['-'], ['-'], ['-'], ['-'], [100.0], ['-']]]"
ttt,"['-', '-', '-', '-', '-', ['tutuiatu'], '-']","['-', '-', '-', '-', '-', ['TATITE'], '-']","[['-'], ['-'], ['-'], ['-'], ['-'], [1], ['-']]","[[['-'], ['-'], ['-'], ['-'], ['-'], [100.0], ['-']]]"
